Fecha,Objetivo (ml),Real (ml),Reducción Plan,Intervalo Teórico,Estado
18/02/2026,24.0,22.4,1.0,3h 12m,✅ Sí
19/02/2026,23.0,0.0,1.0,3h 20m,⏳ En curso
20/02/2026,22.0,0.0,1.0,3h 29m,🔮 Futuro
21/02/2026,21.0,0.0,1.0,3h 39m,🔮 Futuro
22/02/2026,20.0,0.0,1.0,3h 50m,🔮 Futuro
23/02/2026,19.0,0.0,1.0,4h 2m,🔮 Futuro
24/02/2026,18.0,0.0,1.0,4h 16m,🔮 Futuro
25/02/2026,17.0,0.0,1.0,4h 31m,🔮 Futuro
26/02/2026,16.0,0.0,1.0,4h 48m,🔮 Futuro
27/02/2026,15.0,0.0,1.0,5h 7m,🔮 Futuro
28/02/2026,14.0,0.0,1.0,5h 29m,🔮 Futuro
01/03/2026,13.0,0.0,1.0,5h 54m,🔮 Futuro
02/03/2026,12.0,0.0,1.0,6h 24m,🔮 Futuro
03/03/2026,11.0,0.0,1.0,6h 58m,🔮 Futuro
04/03/2026,10.0,0.0,1.0,7h 40m,🔮 Futuro
05/03/2026,9.0,0.0,1.0,8h 32m,🔮 Futuro
06/03/2026,8.0,0.0,1.0,9h 36m,🔮 Futuro
07/03/2026,7.0,0.0,1.0,10h 58m,🔮 Futuro
08/03/2026,6.0,0.0,1.0,12h 48m,🔮 Futuro
09/03/2026,5.0,0.0,1.0,15h 21m,🔮 Futuro
10/03/2026,4.0,0.0,1.0,19h 12m,🔮 Futuro
11/03/2026,3.0,0.0,1.0,25h 36m,🔮 Futuro
12/03/2026,2.0,0.0,1.0,38h 24m,🔮 Futuro
13/03/2026,1.0,0.0,1.0,76h 48m,🔮 Futuro
14/03/2026,0.0,0.0,1.0,---,🔮 Futuro
15/03/2026,0.0,0.0,1.0,---,🔮 Futuro
16/03/2026,0.0,0.0,1.0,---,🔮 Futuro
